site,sample,trmt,breadth
tool,40-50-16,before,0.0270934
tool,40-50-16,before,0.0270934
tool,40-50-16,before,0.0220626
tool,40-50-16,before,0.024092
tool,40-50-16,before,0.0242158
tool,40-50-16,before,0.0242518
tool,40-50-16,before,0.0242158
tool,40-50-16,before,0.024092
tool,40-50-16,before,0.0260422
tool,40-50-16,before,0.0230053
tool,40-50-16,before,0.0275588
tool,40-50-16,before,0.0276655
tool,40-50-16,before,0.0386046
tool,40-50-16,before,0.0410973
tool,40-50-16,before,0.0249107
tool,40-50-16,before,0.0329796
tool,40-50-16,before,0.0239781
tool,40-50-16,before,0.024307
tool,40-50-16,before,0.024307
tool,40-50-16,before,0.0242525
tool,40-50-16,before,0.0316338
tool,40-50-16,before,0.0297859
tool,40-50-16,before,0.0269517
tool,40-50-16,before,0.0285817
tool,40-50-16,before,0.0242662
tool,40-50-16,before,0.0269517
tool,40-50-16,before,0.0282382
tool,40-50-16,before,0.037191
tool,40-50-16,before,0.0357382
tool,40-50-16,before,0.0319954
tool,40-50-16,before,0.0310099
tool,40-50-16,before,0.0236054
tool,40-50-16,before,0.0326188
tool,40-50-16,before,0.0331688
tool,40-50-16,before,0.0448818
tool,40-50-16,before,0.0297563
tool,40-50-16,before,0.0298116
tool,40-50-16,before,0.0579354
tool,40-50-16,before,0.0356963
tool,40-50-16,before,0.0555587
tool,40-50-16,before,0.0412751
tool,40-50-16,before,0.0381237
tool,40-50-16,before,0.0258167
tool,40-50-16,before,0.0250894
tool,40-50-16,before,0.0200431
tool,40-50-16,before,0.039487
tool,40-50-16,before,0.0331866
tool,40-50-16,before,0.0344326
tool,40-50-16,before,0.0333925
tool,40-50-16,before,0.0235904
tool,40-50-16,before,0.0333852
tool,40-50-16,before,0.0487785
tool,40-50-16,before,0.0423102
tool,40-50-16,before,0.0347058
tool,40-50-16,before,0.0304062
tool,40-50-16,before,0.0506397
tool,40-50-16,before,0.0392973
tool,40-50-16,before,0.0352137
tool,40-50-16,before,0.0328183
tool,40-50-16,before,0.0486247
tool,40-50-16,before,0.0533121
tool,40-50-16,before,0.0302745
tool,40-50-16,before,0.0287138
tool,40-50-16,before,0.0568119
tool,40-50-16,before,0.038316
tool,40-50-16,before,0.0357719
tool,40-50-16,before,0.0616824
tool,40-50-16,before,0.071303
tool,40-50-16,before,0.0410287
tool,40-50-16,before,0.0602135
tool,40-50-16,before,0.0388077
tool,40-50-16,before,0.0453579
tool,40-50-16,before,0.0576999
tool,40-50-16,before,0.0376974
tool,40-50-16,before,0.0278008
tool,40-50-16,before,0.0320096
tool,40-50-16,before,0.0703405
tool,40-50-16,before,0.0334306
tool,40-50-16,before,0.0313679
tool,40-50-16,before,0.0454645
tool,40-50-16,before,0.0288318
tool,40-50-16,before,0.0545983
tool,40-50-16,before,0.0331723
tool,40-50-16,before,0.0483868
tool,40-50-16,before,0.0576069
tool,40-50-16,before,0.0414556
tool,40-50-16,before,0.0477784
tool,40-50-16,before,0.0513901
tool,40-50-16,before,0.0353331
tool,40-50-16,before,0.0526955
tool,40-50-16,before,0.0557959
tool,40-50-16,before,0.070906
tool,40-50-16,before,0.0445266
tool,40-50-16,before,0.0353308
tool,40-50-16,before,0.0348129
tool,40-50-16,before,0.0446926
tool,40-50-16,before,0.0466156
tool,40-50-16,before,0.0239181
tool,40-50-16,before,0.0422559
tool,40-50-16,before,0.0322338
tool,40-50-16,before,0.0496152
tool,40-50-16,before,0.0451853
tool,40-50-16,before,0.0611007
tool,40-50-16,before,0.0272299
tool,40-50-16,before,0.0392369
tool,40-50-16,before,0.0419371
tool,40-50-16,before,0.028187
tool,40-50-16,before,0.0656223
tool,40-50-16,before,0.0595642
tool,40-50-16,before,0.0565031
tool,40-50-16,before,0.0341354
tool,40-50-16,before,0.049475
tool,40-50-16,before,0.0255789
tool,40-50-16,before,0.0557262
tool,40-50-16,before,0.0323044
tool,40-50-16,before,0.0302279
tool,40-50-16,before,0.0609022
tool,40-50-16,before,0.0574517
tool,40-50-16,before,0.0481781
tool,40-50-16,before,0.0753525
tool,40-50-16,before,0.0577936
tool,40-50-16,before,0.0964287
tool,40-50-16,before,0.0454203
tool,40-50-16,before,0.0632757
tool,40-50-16,before,0.0395702
tool,40-50-16,before,0.0681843
tool,40-50-16,before,0.0664188
tool,40-50-16,before,0.0763711
tool,40-50-16,before,0.0539681
tool,40-50-16,before,0.0595824
tool,40-50-16,before,0.0504199
tool,40-50-16,before,0.0778135
tool,40-50-16,before,0.105764
tool,40-50-16,before,0.0722323
tool,40-50-16,before,0.0613477
tool,40-50-16,before,0.0412341
tool,40-50-16,before,0.0425221
tool,40-50-16,before,0.0519631
tool,40-50-16,before,0.0524962
tool,40-50-16,before,0.0691122
tool,40-50-16,before,0.0833773
tool,40-50-16,before,0.129384
tool,40-50-16,before,0.0860669
tool,40-50-16,before,0.0704202
tool,40-50-16,before,0.0941427
tool,40-50-16,before,0.043782
tool,40-50-16,before,0.0350596
tool,40-50-16,before,0.0570205
tool,40-50-16,before,0.0448562
tool,40-50-16,before,0.0304826
tool,40-50-16,before,0.0720292
tool,40-50-16,before,0.07579
tool,40-50-16,before,0.0655033
tool,40-50-16,before,0.0497597
tool,40-50-16,before,0.0948288
tool,40-50-16,before,0.103181
tool,40-50-16,before,0.0693367
tool,40-50-16,before,0.0639184
tool,40-50-16,before,0.106949
tool,40-50-16,before,0.0506268
tool,40-50-16,before,0.0427814
tool,40-50-16,before,0.0223203
tool,40-50-16,before,0.06578
tool,40-50-16,before,0.0645325
tool,40-50-16,before,0.0730675
tool,40-50-16,before,0.0593327
tool,40-50-16,before,0.0684146
tool,40-50-16,before,0.0458062
tool,40-50-16,before,0.0730707
tool,40-50-16,before,0.0282964
tool,40-50-16,before,0.0273604
tool,40-50-16,before,0.0487562
tool,40-50-16,before,0.0746077
tool,40-50-16,before,0.0660606
tool,40-50-16,before,0.0770366
tool,40-50-16,before,0.0448654
tool,40-50-16,before,0.0381843
tool,40-50-16,before,0.0542088
tool,40-50-16,before,0.12563
tool,40-50-16,before,0.0883121
tool,40-50-16,before,0.0685803
tool,40-50-16,before,0.0633848
tool,40-50-16,before,0.062923
tool,40-50-16,before,0.0476961
tool,40-50-16,before,0.0309856
tool,40-50-16,before,0.139628
tool,40-50-16,before,0.104822
tool,40-50-16,before,0.0864496
tool,40-50-16,before,0.0673621
tool,40-50-16,before,0.0351977
tool,40-50-16,before,0.0447564
tool,40-50-16,before,0.132288
tool,40-50-16,before,0.0547817
tool,40-50-16,before,0.0704447
tool,40-50-16,before,0.0693802
tool,40-50-16,before,0.0475242
tool,40-50-16,before,0.0735205
tool,40-50-16,before,0.0989147
tool,40-50-16,before,0.0439673
tool,40-50-16,before,0.0819806
tool,40-50-16,before,0.11634
tool,40-50-16,before,0.0545238
tool,40-50-16,before,0.0981298
tool,40-50-16,before,0.0763894
tool,40-50-16,before,0.154845
tool,40-50-16,before,0.0875698
tool,40-50-16,before,0.090881
tool,40-50-16,before,0.179166
tool,40-50-16,before,0.107946
tool,40-50-16,before,0.0575637
tool,40-50-16,before,0.129215
tool,40-50-16,before,0.0750769
tool,40-50-16,before,0.054383
tool,40-50-16,before,0.115083
tool,40-50-16,before,0.120526
tool,40-50-16,before,0.0766468
tool,40-50-16,before,0.0655272
tool,40-50-16,before,0.0939115
tool,40-50-16,before,0.228446
tool,40-50-16,before,0.102864
tool,40-50-16,before,0.0839499
tool,40-50-16,before,0.0984206
tool,40-50-16,before,0.13852
tool,40-50-16,before,0.0656803
tool,40-50-16,before,0.166967
tool,40-50-16,before,0.241479
tool,40-50-16,before,0.110883
tool,40-50-16,before,0.0827423
tool,40-50-16,before,0.0631601
tool,40-50-16,before,0.11667
tool,40-50-16,before,0.185055
tool,40-50-16,before,0.172338
tool,40-50-16,before,0.078766
tool,40-50-16,before,0.142738
tool,40-50-16,before,0.147666
tool,40-50-16,before,0.178271
tool,40-50-16,before,0.110675
tool,40-50-16,before,0.10543
tool,40-50-16,before,0.211382
tool,40-50-16,before,0.129771
tool,40-50-16,before,0.21627
tool,40-50-16,before,0.111952
tool,40-50-16,before,0.301149
tool,40-50-16,before,0.209787
tool,40-50-16,before,0.294075
tool,40-50-16,before,0.162738
tool,40-50-16,before,0.339804
tool,40-50-16,before,0.422276
tool,40-50-16,before,0.190432
tool,40-50-16,before,0.182937
tool,40-50-16,before,0.21065
tool,40-50-16,before,0.289703
tool,40-50-16,before,0.290259
tool,40-50-16,before,0.339744
tool,40-50-16,before,0.398846
tool,40-50-16,before,0.181441
tool,40-50-16,before,0.322655
tool,40-50-16,before,0.152144
tool,40-50-16,before,0.428007
tool,40-50-16,before,0.208842
tool,40-50-16,before,0.275534
tool,40-50-16,before,0.412126
tool,40-50-16,before,0.785498
tool,40-50-16,before,0.300473
tool,40-50-16,before,0.93245
tool,40-50-16,before,1.30936
tool,40-50-16,before,0.492233
tool,40-50-16,before,0.469013
tool,40-50-16,before,3.84142
tool,40-50-16,after,1.91733
tool,40-50-16,after,0.0369471
tool,40-50-16,after,0.04961
tool,40-50-16,after,0.0303096
tool,40-50-16,after,0.251884
tool,40-50-16,after,0.0496763
tool,40-50-16,after,0.0274543
tool,40-50-16,after,0.0328944
tool,40-50-16,after,0.0684138
tool,40-50-16,after,0.108611
tool,40-50-16,after,0.0677788
tool,40-50-16,after,0.023752
tool,40-50-16,after,0.0560087
tool,40-50-16,after,0.0648448
tool,40-50-16,after,0.21495
tool,40-50-16,after,0.0351498
tool,40-50-16,after,0.2002
tool,40-50-16,after,0.024092
tool,40-50-16,after,0.27477
tool,40-50-16,after,0.0320585
tool,40-50-16,after,0.0534465
tool,40-50-16,after,0.0803954
tool,40-50-16,after,0.123696
tool,40-50-16,after,0.425551
tool,40-50-16,after,0.0589498
tool,40-50-16,after,0.0384856
tool,40-50-16,after,0.218724
tool,40-50-16,after,0.0235553
tool,40-50-16,after,0.0231681
tool,40-50-16,after,0.0480048
tool,40-50-16,after,0.0671452
tool,40-50-16,after,0.0967978
tool,40-50-16,after,0.0279053
tool,40-50-16,after,0.0240656
tool,40-50-16,after,0.0525449
tool,40-50-16,after,0.0351417
tool,40-50-16,after,0.153326
tool,40-50-16,after,0.0330227
tool,40-50-16,after,0.0209113
tool,40-50-16,after,0.0750182
tool,40-50-16,after,0.0744802
tool,40-50-16,after,0.135934
tool,40-50-16,after,0.0358042
tool,40-50-16,after,0.154887
tool,40-50-16,after,0.663792
tool,40-50-16,after,0.0260993
tool,40-50-16,after,0.0886498
tool,40-50-16,after,0.184543
tool,40-50-16,after,0.0370612
tool,40-50-16,after,0.0343719
tool,40-50-16,after,0.0520846
tool,40-50-16,after,0.0982818
tool,40-50-16,after,0.0540997
tool,40-50-16,after,0.0246311
tool,40-50-16,after,0.0459804
tool,40-50-16,after,0.878199
tool,40-50-16,after,0.0541001
tool,40-50-16,after,0.10538
tool,40-50-16,after,0.0429418
tool,40-50-16,after,0.219095
tool,40-50-16,after,0.0747469
tool,40-50-16,after,0.281165
tool,40-50-16,after,0.0651289
tool,40-50-16,after,0.417154
tool,40-50-16,after,0.29233
tool,40-50-16,after,0.0271495
tool,40-50-16,after,0.292213
tool,40-50-16,after,0.0688437
tool,40-50-16,after,0.0249091
tool,40-50-16,after,0.82996
tool,40-50-16,after,0.040894
tool,40-50-16,after,0.0626009
tool,40-50-16,after,0.0528026
tool,40-50-16,after,0.0508445
tool,40-50-16,after,0.0466492
tool,40-50-16,after,0.0895401
tool,40-50-16,after,0.0973069
tool,40-50-16,after,0.0337899
tool,40-50-16,after,0.828601
tool,40-50-16,after,0.0289373
tool,40-50-16,after,0.0927151
tool,40-50-16,after,0.101424
tool,40-50-16,after,0.0314368
tool,40-50-16,after,0.0673631
tool,40-50-16,after,0.0492807
tool,40-50-16,after,0.069329
tool,40-50-16,after,0.0418666
tool,40-50-16,after,0.144842
tool,40-50-16,after,0.0312015
tool,40-50-16,after,0.0574147
tool,40-50-16,after,0.0325023
tool,40-50-16,after,0.0900284
tool,40-50-16,after,0.0271495
tool,40-50-16,after,0.0586585
tool,40-50-16,after,0.0305751
tool,40-50-16,after,0.0628252
tool,40-50-16,after,0.0242042
tool,40-50-16,after,0.0249025
tool,40-50-16,after,0.0674977
tool,40-50-16,after,0.0520327
tool,40-50-16,after,0.0360725
tool,40-50-16,after,0.0293008
tool,40-50-16,after,0.0251277
tool,40-50-16,after,0.0773015
tool,40-50-16,after,0.042802
tool,40-50-16,after,0.0422748
tool,40-50-16,after,0.112417
tool,40-50-16,after,0.0934466
tool,40-50-16,after,0.0643965
tool,40-50-16,after,0.0394939
tool,40-50-16,after,0.077509
tool,40-50-16,after,0.118153
tool,40-50-16,after,0.0749542
tool,40-50-16,after,0.0239781
tool,40-50-16,after,0.170507
tool,40-50-16,after,0.0633083
tool,40-50-16,after,0.0520996
tool,40-50-16,after,0.0425009
tool,40-50-16,after,0.15351
tool,40-50-16,after,0.0322424
tool,40-50-16,after,0.0768127
tool,40-50-16,after,0.0420113
tool,40-50-16,after,0.459426
tool,40-50-16,after,0.029326
tool,40-50-16,after,0.0160604
tool,40-50-16,after,0.119036
tool,40-50-16,after,0.300125
tool,40-50-16,after,0.0353201
tool,40-50-16,after,0.0884173
tool,40-50-16,after,0.0355942
tool,40-50-16,after,0.0972191
tool,40-50-16,after,0.285345
tool,40-50-16,after,0.110915
tool,41-50-28,before,0.146532
tool,41-50-28,before,0.164063
tool,41-50-28,before,0.0647121
tool,41-50-28,before,0.0790409
tool,41-50-28,before,0.0596394
tool,41-50-28,before,0.268175
tool,41-50-28,before,0.0711342
tool,41-50-28,before,0.0103193
tool,41-50-28,before,0.104553
tool,41-50-28,before,0.133826
tool,41-50-28,before,0.103763
tool,41-50-28,before,0.0795252
tool,41-50-28,before,0.0846933
tool,41-50-28,before,0.0444178
tool,41-50-28,before,0.0234343
tool,41-50-28,before,0.0616099
tool,41-50-28,before,0.0242157
tool,41-50-28,before,0.0552782
tool,41-50-28,before,0.0395022
tool,41-50-28,before,0.0183107
tool,41-50-28,before,0.0274594
tool,41-50-28,before,0.127413
tool,41-50-28,before,0.0728655
tool,41-50-28,before,0.0371512
tool,41-50-28,before,0.119989
tool,41-50-28,before,0.0342327
tool,41-50-28,before,0.0795571
tool,41-50-28,before,0.0332358
tool,41-50-28,before,0.024092
tool,41-50-28,before,0.0736708
tool,41-50-28,before,0.0537871
tool,41-50-28,before,0.213209
tool,41-50-28,before,0.0412281
tool,41-50-28,before,0.148886
tool,41-50-28,before,0.0453359
tool,41-50-28,before,0.144018
tool,41-50-28,before,0.0528857
tool,41-50-28,before,0.0492511
tool,41-50-28,before,0.0385523
tool,41-50-28,before,0.0483036
tool,41-50-28,before,0.107532
tool,41-50-28,before,0.0407999
tool,41-50-28,before,0.0395958
tool,41-50-28,before,0.0411174
tool,41-50-28,before,0.102828
tool,41-50-28,before,0.0793757
tool,41-50-28,before,0.0634167
tool,41-50-28,before,0.0349498
tool,41-50-28,before,0.0410464
tool,41-50-28,before,0.166598
tool,41-50-28,before,0.0614923
tool,41-50-28,before,0.049552
tool,41-50-28,before,0.0563837
tool,41-50-28,before,0.15794
tool,41-50-28,before,0.0690114
tool,41-50-28,before,0.0669385
tool,41-50-28,before,0.0940317
tool,41-50-28,before,0.0697669
tool,41-50-28,before,0.0184518
tool,41-50-28,before,0.0281926
tool,41-50-28,before,0.0836793
tool,41-50-28,before,0.17338
tool,41-50-28,before,0.0743253
tool,41-50-28,before,0.0473403
tool,41-50-28,before,0.0496817
tool,41-50-28,before,0.0559048
tool,41-50-28,before,0.057929
tool,41-50-28,before,0.130034
tool,41-50-28,before,0.0257736
tool,41-50-28,before,0.317719
tool,41-50-28,before,0.265935
tool,41-50-28,before,0.181091
tool,41-50-28,before,0.0352145
tool,41-50-28,before,0.0389791
tool,41-50-28,before,0.142108
tool,41-50-28,before,0.0687099
tool,41-50-28,before,0.0411571
tool,41-50-28,before,0.058525
tool,41-50-28,before,0.0355058
tool,41-50-28,before,0.0523025
tool,41-50-28,before,0.305649
tool,41-50-28,before,0.0328264
tool,41-50-28,before,0.0351069
tool,41-50-28,before,0.0362283
tool,41-50-28,before,0.0252072
tool,41-50-28,before,0.0243977
tool,41-50-28,before,0.0691755
tool,41-50-28,before,0.0349161
tool,41-50-28,before,0.589554
tool,41-50-28,before,0.0760673
tool,41-50-28,before,0.0309579
tool,41-50-28,before,0.0323512
tool,41-50-28,before,0.0729464
tool,41-50-28,before,0.474737
tool,41-50-28,before,0.0829764
tool,41-50-28,before,0.041421
tool,41-50-28,before,0.0397297
tool,41-50-28,before,0.0503122
tool,41-50-28,before,0.0429322
tool,41-50-28,before,0.0629752
tool,41-50-28,before,0.0240317
tool,41-50-28,before,0.0422206
tool,41-50-28,before,0.105563
tool,41-50-28,before,0.0316217
tool,41-50-28,before,0.0487064
tool,41-50-28,before,0.0245803
tool,41-50-28,before,0.115854
tool,41-50-28,before,0.112975
tool,41-50-28,before,0.371789
tool,41-50-28,before,0.0537446
tool,41-50-28,before,0.0401248
tool,41-50-28,before,0.0511926
tool,41-50-28,before,0.204194
tool,41-50-28,before,0.0987437
tool,41-50-28,before,0.024007
tool,41-50-28,before,0.0528582
tool,41-50-28,before,0.209086
tool,41-50-28,before,0.0281845
tool,41-50-28,before,0.0473886
tool,41-50-28,before,0.0352675
tool,41-50-28,before,0.0710668
tool,41-50-28,before,0.207501
tool,41-50-28,before,0.190204
tool,41-50-28,before,0.113327
tool,41-50-28,before,0.0538219
tool,41-50-28,before,0.0208859
tool,41-50-28,before,0.0327547
tool,41-50-28,before,0.0586742
tool,41-50-28,before,0.0320047
tool,41-50-28,before,0.117147
tool,41-50-28,before,0.125665
tool,41-50-28,before,0.0771877
tool,41-50-28,before,0.0736637
tool,41-50-28,before,0.084634
tool,41-50-28,before,0.268016
tool,41-50-28,before,0.0605864
tool,41-50-28,before,0.0645697
tool,41-50-28,before,0.0821965
tool,41-50-28,before,0.0584087
tool,41-50-28,before,0.0461482
tool,41-50-28,before,0.073247
tool,41-50-28,before,0.0412553
tool,41-50-28,before,0.0393959
tool,41-50-28,before,0.129638
tool,41-50-28,before,0.0354013
tool,41-50-28,before,0.0263842
tool,41-50-28,before,0.0443536
tool,41-50-28,before,0.0409131
tool,41-50-28,before,0.0938488
tool,41-50-28,before,0.0412114
tool,41-50-28,before,0.0338865
tool,41-50-28,before,0.025328
tool,41-50-28,before,0.0309519
tool,41-50-28,before,0.0241831
tool,41-50-28,before,0.0933438
tool,41-50-28,before,0.0721932
tool,41-50-28,before,0.0937322
tool,41-50-28,before,0.0445444
tool,41-50-28,before,0.0199568
tool,41-50-28,before,0.0283789
tool,41-50-28,before,0.0628563
tool,41-50-28,before,0.0393723
tool,41-50-28,before,0.15489
tool,41-50-28,before,0.0498596
tool,41-50-28,before,0.0411382
tool,41-50-28,before,0.035356
tool,41-50-28,before,0.0864855
tool,41-50-28,before,0.0246465
tool,41-50-28,before,0.127173
tool,41-50-28,before,0.0564306
tool,41-50-28,before,0.118256
tool,41-50-28,before,0.0278276
tool,41-50-28,before,0.0769559
tool,41-50-28,before,0.0623083
tool,41-50-28,before,0.0994351
tool,41-50-28,before,0.0244378
tool,41-50-28,before,0.0290481
tool,41-50-28,before,0.0600959
tool,41-50-28,before,0.0540808
tool,41-50-28,before,0.0894007
tool,41-50-28,before,0.0331516
tool,41-50-28,before,0.125853
tool,41-50-28,before,0.166008
tool,41-50-28,before,0.0651746
tool,41-50-28,before,0.0404977
tool,41-50-28,before,0.173019
tool,41-50-28,before,0.0932918
tool,41-50-28,before,0.0372735
tool,41-50-28,before,0.0306767
tool,41-50-28,before,0.0523183
tool,41-50-28,before,0.129595
tool,41-50-28,before,0.0324934
tool,41-50-28,before,0.0329112
tool,41-50-28,before,0.0986987
tool,41-50-28,before,0.12457
tool,41-50-28,before,0.0871014
tool,41-50-28,before,0.163107
tool,41-50-28,before,0.073716
tool,41-50-28,before,0.0271003
tool,41-50-28,before,0.0549632
tool,41-50-28,before,0.123358
tool,41-50-28,before,0.0242157
tool,41-50-28,before,0.0242157
tool,41-50-28,before,0.0808172
tool,41-50-28,before,0.209486
tool,41-50-28,before,0.0337044
tool,41-50-28,before,0.0429033
tool,41-50-28,before,0.219233
tool,41-50-28,before,0.0268025
tool,41-50-28,before,0.0723897
tool,41-50-28,before,0.0291181
tool,41-50-28,before,0.186977
tool,41-50-28,before,0.190593
tool,41-50-28,before,0.0266788
tool,41-50-28,before,0.0281284
tool,41-50-28,before,0.0732291
tool,41-50-28,before,0.0345696
tool,41-50-28,before,0.0273181
tool,41-50-28,before,0.0304314
tool,41-50-28,before,0.0259328
tool,41-50-28,before,0.0249129
tool,41-50-28,before,0.117279
tool,41-50-28,before,0.041871
tool,41-50-28,before,0.0823408
tool,41-50-28,before,0.0704593
tool,41-50-28,before,0.0512018
tool,41-50-28,before,0.0865339
tool,41-50-28,before,0.0438373
tool,41-50-28,before,0.0378476
tool,41-50-28,before,0.129997
tool,41-50-28,before,0.052976
tool,41-50-28,before,0.0330293
tool,41-50-28,before,0.0601589
tool,41-50-28,before,0.0559266
tool,41-50-28,before,0.0465303
tool,41-50-28,before,0.0688622
tool,41-50-28,before,0.0749466
tool,41-50-28,before,0.0314526
tool,41-50-28,before,0.0285363
tool,41-50-28,before,0.0331817
tool,41-50-28,before,0.038262
tool,41-50-28,before,0.0242518
tool,41-50-28,before,0.0342591
tool,41-50-28,before,0.0711382
tool,41-50-28,before,0.0391829
tool,41-50-28,before,0.0709744
tool,41-50-28,before,0.0704119
tool,41-50-28,before,0.0444706
tool,41-50-28,before,0.0320288
tool,41-50-28,before,0.0333213
tool,41-50-28,before,0.0378647
tool,41-50-28,before,0.0246311
tool,41-50-28,before,0.0244864
tool,41-50-28,before,0.0838853
tool,41-50-28,before,0.172794
tool,41-50-28,before,0.185611
tool,41-50-28,before,0.191354
tool,41-50-28,before,0.0653794
tool,41-50-28,before,0.0780232
tool,41-50-28,before,0.0786344
tool,41-50-28,before,0.137411
tool,41-50-28,before,0.0298897
tool,41-50-28,before,0.208663
tool,41-50-28,before,0.024092
tool,41-50-28,before,0.033385
tool,41-50-28,before,0.0944781
tool,41-50-28,before,0.0356753
tool,41-50-28,before,0.0829675
tool,41-50-28,before,0.0628891
tool,41-50-28,before,0.0316459
tool,41-50-28,before,0.0427133
tool,41-50-28,before,0.06038
tool,41-50-28,before,0.0485109
tool,41-50-28,before,0.0533488
tool,41-50-28,before,0.11805
tool,41-50-28,before,0.260478
tool,41-50-28,before,0.0763939
tool,41-50-28,before,0.113682
tool,41-50-28,before,0.0846679
tool,41-50-28,before,0.0755602
tool,41-50-28,before,0.0518128
tool,41-50-28,before,0.0269517
tool,41-50-28,before,0.0686162
tool,41-50-28,before,0.187549
tool,41-50-28,before,0.132434
tool,41-50-28,before,0.0316847
tool,41-50-28,before,0.0546136
tool,41-50-28,before,0.0257369
tool,41-50-28,before,0.0283444
tool,41-50-28,before,0.107207
tool,41-50-28,before,0.0510984
tool,41-50-28,before,0.175038
tool,41-50-28,before,0.0243176
tool,41-50-28,before,0.0278841
tool,41-50-28,before,0.0901296
tool,41-50-28,before,0.0459055
tool,41-50-28,before,0.0895744
tool,41-50-28,before,0.0964801
tool,41-50-28,before,0.0259927
tool,41-50-28,before,0.0321377
tool,41-50-28,before,0.0290027
tool,41-50-28,before,0.0639001
tool,41-50-28,before,0.0722932
tool,41-50-28,before,0.0779363
tool,41-50-28,before,0.0314366
tool,41-50-28,before,0.14159
tool,41-50-28,before,0.030529
tool,41-50-28,before,0.0487562
tool,41-50-28,before,0.0691778
tool,41-50-28,before,0.0448144
tool,41-50-28,before,0.11033
tool,41-50-28,before,0.116414
tool,41-50-28,before,0.0795432
tool,41-50-28,before,0.0515552
tool,41-50-28,before,0.0624672
tool,41-50-28,before,0.0581048
tool,41-50-28,before,0.0695094
tool,41-50-28,before,0.0457415
tool,41-50-28,before,0.100271
tool,41-50-28,before,0.0654936
tool,41-50-28,before,0.0561695
tool,41-50-28,before,0.0703773
tool,41-50-28,before,0.0807143
tool,41-50-28,before,0.0555183
tool,41-50-28,before,0.0962516
tool,41-50-28,before,0.13123
tool,41-50-28,before,0.075052
tool,41-50-28,before,0.0278148
tool,41-50-28,before,0.0333925
tool,41-50-28,before,0.0355169
tool,41-50-28,before,0.128269
tool,41-50-28,before,0.047527
tool,41-50-28,before,0.268813
tool,41-50-28,before,0.0332833
tool,41-50-28,before,0.0807664
tool,41-50-28,before,0.097824
tool,41-50-28,before,0.0413703
tool,41-50-28,before,0.03339
tool,41-50-28,before,0.0411435
tool,41-50-28,before,0.0714565
tool,41-50-28,before,0.0596051
tool,41-50-28,before,0.0564623
tool,41-50-28,before,0.0236087
tool,41-50-28,before,0.0526442
tool,41-50-28,before,0.0987262
tool,41-50-28,before,0.0408397
tool,41-50-28,before,0.0644811
tool,41-50-28,before,0.0535246
tool,41-50-28,before,0.145569
tool,41-50-28,before,0.031946
tool,41-50-28,before,0.0527653
tool,41-50-28,before,0.0423172
tool,41-50-28,before,0.118209
tool,41-50-28,before,0.0395092
tool,41-50-28,before,0.0305761
tool,41-50-28,before,0.0286752
tool,41-50-28,before,0.0462325
tool,41-50-28,before,0.0329998
tool,41-50-28,before,0.029767
tool,41-50-28,before,0.180742
tool,41-50-28,before,0.0865828
tool,41-50-28,before,0.109417
tool,41-50-28,before,0.0366407
tool,41-50-28,before,0.0889251
tool,41-50-28,before,0.0290293
tool,41-50-28,before,0.0283917
tool,41-50-28,before,0.0345129
tool,41-50-28,before,0.0332451
tool,41-50-28,before,0.0249077
tool,41-50-28,before,0.0410166
tool,41-50-28,before,0.0509054
tool,41-50-28,before,0.0546364
tool,41-50-28,before,0.0405793
tool,41-50-28,before,0.0393322
tool,41-50-28,before,0.0649802
tool,41-50-28,before,0.443582
tool,41-50-28,before,0.0913469
tool,41-50-28,before,0.0620318
tool,41-50-28,before,0.113409
tool,41-50-28,before,0.120103
tool,41-50-28,before,0.0294706
tool,41-50-28,before,0.0298116
tool,41-50-28,before,0.0252072
tool,41-50-28,before,0.0323512
tool,41-50-28,before,0.0296612
tool,41-50-28,before,0.0518154
tool,41-50-28,before,0.0752423
tool,41-50-28,before,0.0753618
tool,41-50-28,before,0.0533608
tool,41-50-28,before,0.0334284
tool,41-50-28,before,0.0513503
tool,41-50-28,before,0.0637554
tool,41-50-28,before,0.0432037
tool,41-50-28,before,0.0909608
tool,41-50-28,before,0.0385183
tool,41-50-28,before,0.145547
tool,41-50-28,before,0.110222
tool,41-50-28,before,0.0354207
tool,41-50-28,after,1.18602
tool,41-50-28,after,0.618446
tool,41-50-28,after,0.418424
tool,41-50-28,after,0.430761
tool,41-50-28,after,0.499171
tool,41-50-28,after,0.388328
tool,41-50-28,after,0.289444
tool,41-50-28,after,0.299771
tool,41-50-28,after,0.435269
tool,41-50-28,after,0.32613
tool,41-50-28,after,6.86E-02
tool,41-50-28,after,9.21E-02
tool,41-50-28,after,0.247041
tool,41-50-28,after,0.120651
tool,41-50-28,after,0.122895
tool,41-50-28,after,6.65E-02
tool,41-50-28,after,0.102224
tool,41-50-28,after,4.94E-02
tool,41-50-28,after,6.81E-02
tool,41-50-28,after,8.75E-02
tool,41-50-28,after,8.78E-02
tool,41-50-28,after,0.118054
tool,41-50-28,after,5.99E-02
tool,41-50-28,after,0.150191
tool,41-50-28,after,9.24E-02
tool,41-50-28,after,6.19E-02
tool,41-50-28,after,9.01E-02
tool,41-50-28,after,5.26E-02
tool,41-50-28,after,7.90E-02
tool,41-50-28,after,8.87E-02
tool,41-50-28,after,3.86E-02
tool,41-50-28,after,9.35E-02
tool,41-50-28,after,4.36E-02
tool,41-50-28,after,5.42E-02
tool,41-50-28,after,3.57E-02
